Area of Residence,Total Original Medicare Part A and/or Part B Enrollees,Total Medicare Part A and/or Part B Persons With Utilization,Total Medicare Part A and/or Part B Program Payments,Medicare Part A and/or Part B Program Payments Per Person With Utilization,Medicare Part A and/or Part B Program Payments Per Original Medicare Enrollee,Total Original Medicare Part A Enrollees,Total Medicare Part A Persons With Utilization,Total Medicare Part A Program Payments,Medicare Part A Program Payments Per Person With Utilization,Medicare Part A Program Payments Per Original Medicare Enrollee,Total Original Medicare Part B Enrollees,Total Medicare Part B Persons With Utilization,Total Medicare Part B Program Payments,Medicare Part B Program Payments Per Person With Utilization,Medicare Part B Program Payments Per Original Medicare Enrollee,Total Beneficiary Cost Sharing,Beneficiary Cost Sharing Per Person With Utilization,Beneficiary Cost Sharing Per Original Medicare Enrollee,Discharged Dead
Missouri,"707,230","661,529","7,409,955,196","11,201","10,477","705,970","142,211","3,467,638,843","24,384","4,912","614,868","648,819","3,942,316,353","6,076","6,412","1,305,460,201","1,973","1,846","36,453"
Montana,"188,073","172,143","1,626,583,833","9,449","8,649","187,346","26,761","664,345,909","24,825","3,546","170,075","170,237","962,237,925","5,652","5,658","318,186,222","1,848","1,692","6,134"
Nebraska,"272,226","259,753","2,904,540,192","11,182","10,670","271,901","46,809","1,269,115,537","27,113","4,668","243,477","257,012","1,635,424,654","6,363","6,717","555,129,995","2,137","2,039","10,508"
Nevada,"316,990","273,357","3,525,162,484","12,896","11,121","314,391","57,043","1,762,836,899","30,904","5,607","262,590","265,737","1,762,325,585","6,632","6,711","540,023,547","1,976","1,704","14,793"
New Hampshire,"234,830","208,051","2,200,212,231","10,575","9,369","234,713","35,802","1,006,458,207","28,112","4,288","201,995","205,455","1,193,754,025","5,810","5,910","392,244,926","1,885","1,670","8,007"
New Jersey,"1,075,739","959,117","13,333,090,391","13,901","12,394","1,061,472","190,351","6,374,936,453","33,490","6,006","904,540","946,765","6,958,153,938","7,349","7,692","2,080,349,630","2,169","1,934","43,281"
New Mexico,"252,475","229,007","2,187,724,333","9,553","8,665","247,550","39,477","988,032,636","25,028","3,991","217,588","223,855","1,199,691,697","5,359","5,514","382,980,544","1,672","1,517","10,804"
New York,"1,996,240","1,817,771","26,228,103,828","14,429","13,139","1,985,166","363,640","13,612,962,626","37,435","6,857","1,662,123","1,789,891","12,615,141,203","7,048","7,590","4,016,942,823","2,210","2,012","75,326"
North Carolina,"1,148,967","1,106,895","11,611,543,435","10,490","10,106","1,141,602","210,055","5,223,625,109","24,868","4,576","1,023,283","1,089,056","6,387,918,326","5,866","6,243","1,974,442,798","1,784","1,718","57,230"
North Dakota,"105,943","118,795","1,197,587,193","10,081","11,304","105,490","19,881","517,686,315","26,039","4,907","95,008","117,903","679,900,878","5,767","7,156","228,378,554","1,922","2,156","3,519"
