state_code,state_name,year,income_group,beneficiaries,cms_cost_per_utilizer,median_income,affordability_index_pct
HI,Hawaii,2024,Nonfamily_Male_alone,145637,9372.0,63333.0,14.8
IA,Iowa,2024,65plus,465570,10048.0,380845.0,2.64
IA,Iowa,2024,Family4,465570,10048.0,138126.0,7.27
IA,Iowa,2024,Female_no_spouse_kids,465570,10048.0,80483.0,12.48
IA,Iowa,2024,Male_no_spouse_kids,465570,10048.0,34218.0,29.36
IA,Iowa,2024,Married_with_kids,465570,10048.0,238232.0,4.22
IA,Iowa,2024,Nonfamily_Female_alone,465570,10048.0,220072.0,4.57
IA,Iowa,2024,Nonfamily_Male_alone,465570,10048.0,192693.0,5.21
ID,Idaho,2024,65plus,215741,9576.0,211921.0,4.52
ID,Idaho,2024,Family4,215741,9576.0,83000.0,11.54
ID,Idaho,2024,Female_no_spouse_kids,215741,9576.0,38503.0,24.87
ID,Idaho,2024,Male_no_spouse_kids,215741,9576.0,18088.0,52.94
ID,Idaho,2024,Married_with_kids,215741,9576.0,162570.0,5.89
ID,Idaho,2024,Nonfamily_Female_alone,215741,9576.0,96028.0,9.97
ID,Idaho,2024,Nonfamily_Male_alone,215741,9576.0,84231.0,11.37
IL,Illinois,2024,65plus,1507029,12189.0,1434880.0,0.85
IL,Illinois,2024,Family4,1507029,12189.0,577500.0,2.11
IL,Illinois,2024,Female_no_spouse_kids,1507029,12189.0,286359.0,4.26
IL,Illinois,2024,Male_no_spouse_kids,1507029,12189.0,109472.0,11.13
IL,Illinois,2024,Married_with_kids,1507029,12189.0,851586.0,1.43
IL,Illinois,2024,Nonfamily_Female_alone,1507029,12189.0,891028.0,1.37
IL,Illinois,2024,Nonfamily_Male_alone,1507029,12189.0,727196.0,1.68
IN,Indiana,2024,65plus,775334,11188.0,778955.0,1.44
IN,Indiana,2024,Family4,775334,11188.0,300207.0,3.73
IN,Indiana,2024,Female_no_spouse_kids,775334,11188.0,175401.0,6.38
IN,Indiana,2024,Male_no_spouse_kids,775334,11188.0,73282.0,15.27
IN,Indiana,2024,Married_with_kids,775334,11188.0,476337.0,2.35
IN,Indiana,2024,Nonfamily_Female_alone,775334,11188.0,442463.0,2.53
IN,Indiana,2024,Nonfamily_Male_alone,775334,11188.0,385999.0,2.9
KS,Kansas,2024,65plus,414903,11195.0,339508.0,3.3
KS,Kansas,2024,Family4,414903,11195.0,129984.0,8.61
KS,Kansas,2024,Female_no_spouse_kids,414903,11195.0,61884.0,18.09
KS,Kansas,2024,Male_no_spouse_kids,414903,11195.0,26323.0,42.53
KS,Kansas,2024,Married_with_kids,414903,11195.0,230736.0,4.85
KS,Kansas,2024,Nonfamily_Female_alone,414903,11195.0,184059.0,6.08
KS,Kansas,2024,Nonfamily_Male_alone,414903,11195.0,177418.0,6.31
KY,Kentucky,2024,65plus,536961,10255.0,528114.0,1.94
KY,Kentucky,2024,Family4,536961,10255.0,192882.0,5.32
KY,Kentucky,2024,Female_no_spouse_kids,536961,10255.0,111743.0,9.18
KY,Kentucky,2024,Male_no_spouse_kids,536961,10255.0,47779.0,21.46
KY,Kentucky,2024,Married_with_kids,536961,10255.0,319058.0,3.21
KY,Kentucky,2024,Nonfamily_Female_alone,536961,10255.0,298833.0,3.43
