state_code,state_name,year,income_group,beneficiaries,cms_cost_per_utilizer,median_income,affordability_index_pct
NM,New Mexico,2024,Nonfamily_Male_alone,252475,9553.0,129194.0,7.39
NV,Nevada,2021,65plus,316990,12896.0,308476.0,4.18
NV,Nevada,2021,Family4,316990,12896.0,124668.0,10.34
NV,Nevada,2021,Female_no_spouse_kids,316990,12896.0,78954.0,16.33
NV,Nevada,2021,Male_no_spouse_kids,316990,12896.0,37084.0,34.78
NV,Nevada,2021,Married_with_kids,316990,12896.0,199006.0,6.48
NV,Nevada,2021,Nonfamily_Female_alone,316990,12896.0,165112.0,7.81
NV,Nevada,2021,Nonfamily_Male_alone,316990,12896.0,168183.0,7.67
NV,Nevada,2024,65plus,316990,12896.0,339363.0,3.8
NV,Nevada,2024,Family4,316990,12896.0,138474.0,9.31
NV,Nevada,2024,Female_no_spouse_kids,316990,12896.0,74309.0,17.35
NV,Nevada,2024,Male_no_spouse_kids,316990,12896.0,35469.0,36.36
NV,Nevada,2024,Married_with_kids,316990,12896.0,192471.0,6.7
NV,Nevada,2024,Nonfamily_Female_alone,316990,12896.0,178452.0,7.23
NV,Nevada,2024,Nonfamily_Male_alone,316990,12896.0,172647.0,7.47
NY,New York,2021,65plus,1996240,14429.0,2150241.0,0.67
NY,New York,2021,Family4,1996240,14429.0,861784.0,1.67
NY,New York,2021,Female_no_spouse_kids,1996240,14429.0,453669.0,3.18
NY,New York,2021,Male_no_spouse_kids,1996240,14429.0,152312.0,9.47
NY,New York,2021,Married_with_kids,1996240,14429.0,1229511.0,1.17
NY,New York,2021,Nonfamily_Female_alone,1996240,14429.0,1335592.0,1.08
NY,New York,2021,Nonfamily_Male_alone,1996240,14429.0,1030178.0,1.4
NY,New York,2024,65plus,1996240,14429.0,2319319.0,0.62
NY,New York,2024,Family4,1996240,14429.0,860241.0,1.68
NY,New York,2024,Female_no_spouse_kids,1996240,14429.0,449490.0,3.21
NY,New York,2024,Male_no_spouse_kids,1996240,14429.0,147361.0,9.79
NY,New York,2024,Married_with_kids,1996240,14429.0,1204301.0,1.2
NY,New York,2024,Nonfamily_Female_alone,1996240,14429.0,1389721.0,1.04
NY,New York,2024,Nonfamily_Male_alone,1996240,14429.0,1075132.0,1.34
OH,Ohio,2021,65plus,1227265,11048.0,1343392.0,0.82
OH,Ohio,2021,Family4,1227265,11048.0,500030.0,2.21
OH,Ohio,2021,Female_no_spouse_kids,1227265,11048.0,324813.0,3.4
OH,Ohio,2021,Male_no_spouse_kids,1227265,11048.0,114324.0,9.66
OH,Ohio,2021,Married_with_kids,1227265,11048.0,779569.0,1.42
OH,Ohio,2021,Nonfamily_Female_alone,1227265,11048.0,810124.0,1.36
OH,Ohio,2021,Nonfamily_Male_alone,1227265,11048.0,694807.0,1.59
OH,Ohio,2024,65plus,1227265,11048.0,1452533.0,0.76
OH,Ohio,2024,Family4,1227265,11048.0,492688.0,2.24
OH,Ohio,2024,Female_no_spouse_kids,1227265,11048.0,296521.0,3.73
OH,Ohio,2024,Male_no_spouse_kids,1227265,11048.0,113750.0,9.71
OH,Ohio,2024,Married_with_kids,1227265,11048.0,785100.0,1.41
OH,Ohio,2024,Nonfamily_Female_alone,1227265,11048.0,847176.0,1.3
OH,Ohio,2024,Nonfamily_Male_alone,1227265,11048.0,725800.0,1.52
OK,Oklahoma,2021,65plus,528377,12160.0,407813.0,2.98
OK,Oklahoma,2021,Family4,528377,12160.0,173056.0,7.03
OK,Oklahoma,2021,Female_no_spouse_kids,528377,12160.0,103521.0,11.75
OK,Oklahoma,2021,Male_no_spouse_kids,528377,12160.0,40534.0,30.0
OK,Oklahoma,2021,Married_with_kids,528377,12160.0,281590.0,4.32
OK,Oklahoma,2021,Nonfamily_Female_alone,528377,12160.0,246667.0,4.93
OK,Oklahoma,2021,Nonfamily_Male_alone,528377,12160.0,207406.0,5.86
OK,Oklahoma,2024,65plus,528377,12160.0,437753.0,2.78
OK,Oklahoma,2024,Family4,528377,12160.0,172442.0,7.05
OK,Oklahoma,2024,Female_no_spouse_kids,528377,12160.0,102181.0,11.9
OK,Oklahoma,2024,Male_no_spouse_kids,528377,12160.0,45118.0,26.95
OK,Oklahoma,2024,Married_with_kids,528377,12160.0,288886.0,4.21
OK,Oklahoma,2024,Nonfamily_Female_alone,528377,12160.0,247940.0,4.9
OK,Oklahoma,2024,Nonfamily_Male_alone,528377,12160.0,225581.0,5.39
OR,Oregon,2021,65plus,459062,9573.0,486213.0,1.97
OR,Oregon,2021,Family4,459062,9573.0,175840.0,5.44
OR,Oregon,2021,Female_no_spouse_kids,459062,9573.0,86495.0,11.07
OR,Oregon,2021,Male_no_spouse_kids,459062,9573.0,41208.0,23.23
OR,Oregon,2021,Married_with_kids,459062,9573.0,292688.0,3.27
OR,Oregon,2021,Nonfamily_Female_alone,459062,9573.0,262393.0,3.65
OR,Oregon,2021,Nonfamily_Male_alone,459062,9573.0,216855.0,4.41
OR,Oregon,2024,65plus,459062,9573.0,522158.0,1.83
OR,Oregon,2024,Family4,459062,9573.0,177258.0,5.4
OR,Oregon,2024,Female_no_spouse_kids,459062,9573.0,84588.0,11.32
OR,Oregon,2024,Male_no_spouse_kids,459062,9573.0,39360.0,24.32
OR,Oregon,2024,Married_with_kids,459062,9573.0,283019.0,3.38
OR,Oregon,2024,Nonfamily_Female_alone,459062,9573.0,275583.0,3.47
