state_name,state_code,year,income_group,median_income
Alabama,AL,2021,65plus,563140
Alaska,AK,2021,65plus,59466
Arizona,AZ,2021,65plus,814846
Arkansas,AR,2021,65plus,327367
California,CA,2021,65plus,3377602
Colorado,CO,2021,65plus,542724
Connecticut,CT,2021,65plus,406385
Delaware,DE,2021,65plus,124872
District of Columbia,DC,2021,65plus,64233
Florida,FL,2021,65plus,2750027
Georgia,GA,2021,65plus,959058
Hawaii,HI,2021,65plus,158386
Idaho,ID,2021,65plus,190120
Illinois,IL,2021,65plus,1323777
Indiana,IN,2021,65plus,698612
Iowa,IA,2021,65plus,357929
Kansas,KS,2021,65plus,307300
Kentucky,KY,2021,65plus,487552
Louisiana,LA,2021,65plus,488544
Maine,ME,2021,65plus,185216
Maryland,MD,2021,65plus,612418
Massachusetts,MA,2021,65plus,741325
Michigan,MI,2021,65plus,1160851
Minnesota,MN,2021,65plus,597695
Mississippi,MS,2021,65plus,321780
Missouri,MO,2021,65plus,678244
Montana,MT,2021,65plus,135400
Nebraska,NE,2021,65plus,206167
Nevada,NV,2021,65plus,308476
New Hampshire,NH,2021,65plus,161423
New Jersey,NJ,2021,65plus,952112
New Mexico,NM,2021,65plus,246773
New York,NY,2021,65plus,2150241
North Carolina,NC,2021,65plus,1114731
North Dakota,ND,2021,65plus,78107
Ohio,OH,2021,65plus,1343392
Oklahoma,OK,2021,65plus,407813
Oregon,OR,2021,65plus,486213
Pennsylvania,PA,2021,65plus,1549851
Rhode Island,RI,2021,65plus,124034
South Carolina,SC,2021,65plus,601469
South Dakota,SD,2021,65plus,99889
Tennessee,TN,2021,65plus,746747
Texas,TX,2021,65plus,2367162
Utah,UT,2021,65plus,228621
Vermont,VT,2021,65plus,81486
Virginia,VA,2021,65plus,865610
Washington,WA,2021,65plus,756952
West Virginia,WV,2021,65plus,234486
Wisconsin,WI,2021,65plus,670745
Wyoming,WY,2021,65plus,65022
Puerto Rico,PR,2021,65plus,451860
Alabama,AL,2021,Female_no_spouse_kids,136730
Alaska,AK,2021,Female_no_spouse_kids,16174
